web-scraper-order,web-scraper-start-url,price,bedrooms,bathrooms,area,address,zip-code,colony,city,state,country
1689263544-1,https://propiedades.com/guadalajara/casas-venta?pagina=150,2064000,3,2,200,null,44320,Monumental,Guadalajara,Jalisco,México
1689263544-2,https://propiedades.com/guadalajara/casas-venta?pagina=150,11885000,3,2,400,null,44130,Arcos Vallarta,Guadalajara,Jalisco,México
1689263544-3,https://propiedades.com/guadalajara/casas-venta?pagina=150,1750000,4,3,153,null,44970,José Clemente Orozco,Guadalajara,Jalisco,México
1689263544-4,https://propiedades.com/guadalajara/casas-venta?pagina=150,3239275,3,2,null,null,44399,Altavista de Guadalajara,Guadalajara,Jalisco,México
1689263544-5,https://propiedades.com/guadalajara/casas-venta?pagina=150,4137655,3,2,null,null,44399,Altavista de Guadalajara,Guadalajara,Jalisco,México
1689263544-6,https://propiedades.com/guadalajara/casas-venta?pagina=150,4900000,4,4,null,null,44730,Blanco y Cuellar 1ra.,Guadalajara,Jalisco,México
1689263544-7,https://propiedades.com/guadalajara/casas-venta?pagina=150,5450000,3,2,null,null,44950,Jardines de San José,Guadalajara,Jalisco,México
1689263544-8,https://propiedades.com/guadalajara/casas-venta?pagina=150,856200,2,1,65,null,44725,Plutarco Elias Calles 2,Guadalajara,Jalisco,México
1689263544-9,https://propiedades.com/guadalajara/casas-venta?pagina=150,3943000,3,2,136,null,44700,Guadalajara Oriente,Guadalajara,Jalisco,México
1689263544-10,https://propiedades.com/guadalajara/casas-venta?pagina=150,2300000,2,2,102,null,44700,Guadalajara Oriente,Guadalajara,Jalisco,México
1689263544-11,https://propiedades.com/guadalajara/casas-venta?pagina=150,2990000,2,2,1496,null,44700,Guadalajara Oriente,Guadalajara,Jalisco,México
1689263544-12,https://propiedades.com/guadalajara/casas-venta?pagina=150,13800000,4,4,793,null,44700,Guadalajara Oriente,Guadalajara,Jalisco,México
1689263544-13,https://propiedades.com/guadalajara/casas-venta?pagina=150,1582900,4,2,530,null,44230,Santa Elena de La Cruz,Guadalajara,Jalisco,México
1689263544-14,https://propiedades.com/guadalajara/casas-venta?pagina=150,550000,4,3,215,null,44270,Alcalde Barranquitas,Guadalajara,Jalisco,México
1689263544-15,https://propiedades.com/guadalajara/casas-venta?pagina=150,1455011,3,2,200,null,44300,La Federacha,Guadalajara,Jalisco,México
1689263544-16,https://propiedades.com/guadalajara/casas-venta?pagina=150,3801000,3,3,370,Península,44540,Bosques de La Victoria,Guadalajara,Jalisco,México
1689263544-17,https://propiedades.com/guadalajara/casas-venta?pagina=150,1993480,3,2,142,San Lorenzo,44330,Vicente Guerrero,Guadalajara,Jalisco,México
1689263544-18,https://propiedades.com/guadalajara/casas-venta?pagina=150,16043270,4,null,432,Bernardo de Balbuena,44600,Ladrón de Guevara,Guadalajara,Jalisco,México
1689263544-19,https://propiedades.com/guadalajara/casas-venta?pagina=150,2850000,4,3,352,Rio Zapotlanejo,44870,Atlas,Guadalajara,Jalisco,México
1689263544-20,https://propiedades.com/guadalajara/casas-venta?pagina=150,1960000,4,2,150,Cáceres,44230,Santa Elena de La Cruz,Guadalajara,Jalisco,México
1689263544-21,https://propiedades.com/guadalajara/casas-venta?pagina=150,2600000,4,3,180,hacienda del carmen,44700,Oblatos,Guadalajara,Jalisco,México
1689263544-22,https://propiedades.com/guadalajara/casas-venta?pagina=150,1800000,3,1,90,isla samoa,44950,Jardines de San José,Guadalajara,Jalisco,México
1689263544-23,https://propiedades.com/guadalajara/casas-venta?pagina=150,4500000,4,2,200,Antonio vivaldi #0,44967,Patria,Guadalajara,Jalisco,México
1689263544-24,https://propiedades.com/guadalajara/casas-venta?pagina=150,4200000,3,2,180,Hospital,44100,Guadalajara Centro,Guadalajara,Jalisco,México
1689263553-25,https://propiedades.com/guadalajara/casas-venta?pagina=149,1035500,3,2,null,null,44390,San Miguel de Huentitán El Alto 3a Secc,Guadalajara,Jalisco,México
1689263553-26,https://propiedades.com/guadalajara/casas-venta?pagina=149,874900,3,2,null,null,44760,Miguel Hidalgo,Guadalajara,Jalisco,México
1689263553-27,https://propiedades.com/guadalajara/casas-venta?pagina=149,2603780,3,1,100,null,44960,Lomas de Polanco,Guadalajara,Jalisco,México
1689263553-28,https://propiedades.com/guadalajara/casas-venta?pagina=149,2526440,3,2,null,null,44950,Jardines de La Cruz 2a. Sección,Guadalajara,Jalisco,México
1689263553-29,https://propiedades.com/guadalajara/casas-venta?pagina=149,2460000,3,2,130,null,44950,Jardines de La Cruz 2a. Sección,Guadalajara,Jalisco,México
1689263553-30,https://propiedades.com/guadalajara/casas-venta?pagina=149,1035600,3,2,150,null,44370,El Mirador,Guadalajara,Jalisco,México
1689263553-31,https://propiedades.com/guadalajara/casas-venta?pagina=149,1500000,4,2,140,null,44250,Lomas del Paraíso 2a. Sección,Guadalajara,Jalisco,México
1689263553-32,https://propiedades.com/guadalajara/casas-venta?pagina=149,709800,3,2,null,null,44240,Lomas de Independencia,Guadalajara,Jalisco,México
1689263553-33,https://propiedades.com/guadalajara/casas-venta?pagina=149,1178570,3,2,100,null,44768,Joaquín Aarón,Guadalajara,Jalisco,México
1689263553-34,https://propiedades.com/guadalajara/casas-venta?pagina=149,1463730,3,2,null,null,44768,Joaquín Aarón,Guadalajara,Jalisco,México
1689263553-35,https://propiedades.com/guadalajara/casas-venta?pagina=149,3274000,4,3,null,null,44270,Alcalde Barranquitas,Guadalajara,Jalisco,México
